interactive session starts
==========================
Initializing hash table of size 9028394 for 4514197 kmers.
Finished reading kmers.
Finished inserting in 0.789641
Assembled in 1.116526 total
Rank 0 reconstructed 187 contigs with 140604 nodes from 187 start nodes. (0.245904 read, 0.789641 insert, 1.116526 total)
Rank 1 reconstructed 161 contigs with 115149 nodes from 161 start nodes. (0.205118 read, 0.782245 insert, 1.116517 total)
Rank 2 reconstructed 172 contigs with 122370 nodes from 172 start nodes. (0.215697 read, 0.770981 insert, 1.116502 total)
Rank 3 reconstructed 178 contigs with 133579 nodes from 178 start nodes. (0.234618 read, 0.773087 insert, 1.116500 total)
Rank 4 reconstructed 175 contigs with 139549 nodes from 175 start nodes. (0.242953 read, 0.755329 insert, 1.116524 total)
Rank 5 reconstructed 193 contigs with 159343 nodes from 193 start nodes. (0.272839 read, 0.766598 insert, 1.116525 total)
Rank 6 reconstructed 158 contigs with 109649 nodes from 158 start nodes. (0.196636 read, 0.758050 insert, 1.116521 total)
Rank 7 reconstructed 161 contigs with 134627 nodes from 161 start nodes. (0.235017 read, 0.752514 insert, 1.116488 total)
Rank 8 reconstructed 196 contigs with 156235 nodes from 196 start nodes. (0.267483 read, 0.770786 insert, 1.116511 total)
Rank 9 reconstructed 189 contigs with 142300 nodes from 189 start nodes. (0.246123 read, 0.761941 insert, 1.116514 total)
Rank 10 reconstructed 188 contigs with 155322 nodes from 188 start nodes. (0.266480 read, 0.756233 insert, 1.116490 total)
Rank 11 reconstructed 172 contigs with 135291 nodes from 172 start nodes. (0.235398 read, 0.756824 insert, 1.116489 total)
Rank 12 reconstructed 172 contigs with 131195 nodes from 172 start nodes. (0.229432 read, 0.754701 insert, 1.116490 total)
Rank 13 reconstructed 181 contigs with 124870 nodes from 181 start nodes. (0.219545 read, 0.755798 insert, 1.116501 total)
Rank 14 reconstructed 171 contigs with 146392 nodes from 171 start nodes. (0.252042 read, 0.763000 insert, 1.116499 total)
Rank 15 reconstructed 151 contigs with 129672 nodes from 151 start nodes. (0.227163 read, 0.759210 insert, 1.116505 total)
Rank 16 reconstructed 205 contigs with 192211 nodes from 205 start nodes. (0.325092 read, 0.772547 insert, 1.116523 total)
Rank 17 reconstructed 176 contigs with 151083 nodes from 176 start nodes. (0.261161 read, 0.765129 insert, 1.116500 total)
Rank 18 reconstructed 186 contigs with 131675 nodes from 186 start nodes. (0.229821 read, 0.761621 insert, 1.116499 total)
Rank 19 reconstructed 177 contigs with 126675 nodes from 177 start nodes. (0.222231 read, 0.762024 insert, 1.116518 total)
Rank 20 reconstructed 176 contigs with 143381 nodes from 176 start nodes. (0.247960 read, 0.753768 insert, 1.116525 total)
Rank 21 reconstructed 165 contigs with 146493 nodes from 165 start nodes. (0.252522 read, 0.755726 insert, 1.116517 total)
Rank 22 reconstructed 191 contigs with 156070 nodes from 191 start nodes. (0.267562 read, 0.766036 insert, 1.116494 total)
Rank 23 reconstructed 186 contigs with 137990 nodes from 186 start nodes. (0.240059 read, 0.770038 insert, 1.116524 total)
Rank 24 reconstructed 195 contigs with 151740 nodes from 195 start nodes. (0.263170 read, 0.782545 insert, 1.116492 total)
Rank 25 reconstructed 190 contigs with 141986 nodes from 190 start nodes. (0.248136 read, 0.778612 insert, 1.116496 total)
Rank 26 reconstructed 178 contigs with 150569 nodes from 178 start nodes. (0.262683 read, 0.782323 insert, 1.116515 total)
Rank 27 reconstructed 204 contigs with 157345 nodes from 204 start nodes. (0.272356 read, 0.780038 insert, 1.116514 total)
Rank 28 reconstructed 164 contigs with 134790 nodes from 164 start nodes. (0.236881 read, 0.774229 insert, 1.116519 total)
Rank 29 reconstructed 177 contigs with 130121 nodes from 177 start nodes. (0.228951 read, 0.775040 insert, 1.116490 total)
Rank 30 reconstructed 170 contigs with 133009 nodes from 170 start nodes. (0.233766 read, 0.780626 insert, 1.116499 total)
Rank 31 reconstructed 191 contigs with 152912 nodes from 191 start nodes. (0.265717 read, 0.790738 insert, 1.116524 total)
Initializing hash table of size 9028394 for 4514197 kmers.
Finished reading kmers.
Finished inserting in 0.911556
Assembled in 1.438917 total
Rank 0 reconstructed 111 contigs with 86376 nodes from 111 start nodes. (0.368123 read, 0.911556 insert, 1.438917 total)
Rank 32 reconstructed 101 contigs with 102202 nodes from 101 start nodes. (0.443826 read, 0.930779 insert, 1.438957 total)
Rank 1 reconstructed 76 contigs with 54228 nodes from 76 start nodes. (0.258737 read, 0.973111 insert, 1.438921 total)
Rank 2 reconstructed 76 contigs with 52409 nodes from 76 start nodes. (0.232601 read, 0.923769 insert, 1.438913 total)
Rank 33 reconstructed 104 contigs with 90009 nodes from 104 start nodes. (0.413583 read, 0.985749 insert, 1.438946 total)
Rank 3 reconstructed 85 contigs with 62740 nodes from 85 start nodes. (0.297259 read, 0.969859 insert, 1.438920 total)
Rank 34 reconstructed 94 contigs with 86815 nodes from 94 start nodes. (0.386045 read, 0.942166 insert, 1.438961 total)
Rank 4 reconstructed 78 contigs with 49580 nodes from 78 start nodes. (0.221131 read, 0.929712 insert, 1.438919 total)
Rank 35 reconstructed 82 contigs with 64268 nodes from 82 start nodes. (0.307959 read, 0.992157 insert, 1.438954 total)
Rank 36 reconstructed 79 contigs with 67474 nodes from 79 start nodes. (0.297114 read, 0.941198 insert, 1.438944 total)
Rank 5 reconstructed 94 contigs with 72790 nodes from 94 start nodes. (0.340233 read, 0.969919 insert, 1.438906 total)
Rank 37 reconstructed 107 contigs with 64201 nodes from 107 start nodes. (0.305651 read, 0.994182 insert, 1.438946 total)
Rank 6 reconstructed 98 contigs with 83784 nodes from 98 start nodes. (0.360849 read, 0.917273 insert, 1.438917 total)
Rank 38 reconstructed 86 contigs with 69960 nodes from 86 start nodes. (0.307077 read, 0.950294 insert, 1.438956 total)
Rank 7 reconstructed 80 contigs with 49795 nodes from 80 start nodes. (0.245747 read, 0.963585 insert, 1.438914 total)
Rank 39 reconstructed 91 contigs with 56715 nodes from 91 start nodes. (0.261060 read, 0.982593 insert, 1.438955 total)
Rank 8 reconstructed 78 contigs with 64409 nodes from 78 start nodes. (0.282401 read, 0.919546 insert, 1.438918 total)
Rank 40 reconstructed 88 contigs with 71223 nodes from 88 start nodes. (0.316210 read, 0.935231 insert, 1.438962 total)
Rank 9 reconstructed 97 contigs with 75140 nodes from 97 start nodes. (0.344422 read, 0.965558 insert, 1.438908 total)
Rank 41 reconstructed 88 contigs with 72158 nodes from 88 start nodes. (0.357571 read, 0.981296 insert, 1.438957 total)
Rank 10 reconstructed 88 contigs with 71644 nodes from 88 start nodes. (0.313794 read, 0.931473 insert, 1.438901 total)
Rank 42 reconstructed 85 contigs with 68714 nodes from 85 start nodes. (0.299654 read, 0.946230 insert, 1.438962 total)
Rank 43 reconstructed 80 contigs with 77779 nodes from 80 start nodes. (0.364085 read, 0.987084 insert, 1.438951 total)
Rank 11 reconstructed 105 contigs with 87699 nodes from 105 start nodes. (0.411891 read, 0.964962 insert, 1.438910 total)
Rank 44 reconstructed 98 contigs with 71455 nodes from 98 start nodes. (0.326511 read, 0.945051 insert, 1.438952 total)
Rank 12 reconstructed 83 contigs with 44444 nodes from 83 start nodes. (0.197368 read, 0.923574 insert, 1.438909 total)
Rank 45 reconstructed 94 contigs with 84640 nodes from 94 start nodes. (0.400201 read, 0.981460 insert, 1.438946 total)
Rank 46 reconstructed 89 contigs with 66996 nodes from 89 start nodes. (0.282800 read, 0.947827 insert, 1.438962 total)
Rank 13 reconstructed 75 contigs with 65205 nodes from 75 start nodes. (0.303472 read, 0.972112 insert, 1.438900 total)
Rank 47 reconstructed 96 contigs with 70969 nodes from 96 start nodes. (0.322996 read, 0.980908 insert, 1.438962 total)
Rank 14 reconstructed 84 contigs with 71552 nodes from 84 start nodes. (0.318387 read, 0.914126 insert, 1.438919 total)
Rank 48 reconstructed 101 contigs with 74504 nodes from 101 start nodes. (0.323851 read, 0.950676 insert, 1.438961 total)
Rank 15 reconstructed 77 contigs with 63075 nodes from 77 start nodes. (0.295009 read, 0.972183 insert, 1.438912 total)
Rank 49 reconstructed 94 contigs with 77236 nodes from 94 start nodes. (0.358078 read, 0.983534 insert, 1.438961 total)
Rank 16 reconstructed 94 contigs with 74334 nodes from 94 start nodes. (0.318676 read, 0.925667 insert, 1.438908 total)
Rank 50 reconstructed 106 contigs with 86247 nodes from 106 start nodes. (0.391713 read, 0.948011 insert, 1.438956 total)
Rank 17 reconstructed 102 contigs with 81901 nodes from 102 start nodes. (0.375771 read, 0.961160 insert, 1.438920 total)
Rank 51 reconstructed 84 contigs with 55739 nodes from 84 start nodes. (0.281109 read, 0.978217 insert, 1.438946 total)
Rank 18 reconstructed 91 contigs with 72208 nodes from 91 start nodes. (0.311822 read, 0.919540 insert, 1.438923 total)
Rank 52 reconstructed 106 contigs with 79124 nodes from 106 start nodes. (0.335852 read, 0.944158 insert, 1.438952 total)
Rank 19 reconstructed 98 contigs with 70092 nodes from 98 start nodes. (0.325062 read, 0.967016 insert, 1.438900 total)
Rank 53 reconstructed 72 contigs with 71445 nodes from 72 start nodes. (0.336211 read, 0.982521 insert, 1.438947 total)
Rank 20 reconstructed 84 contigs with 66809 nodes from 84 start nodes. (0.303420 read, 0.921389 insert, 1.438909 total)
Rank 54 reconstructed 101 contigs with 71111 nodes from 101 start nodes. (0.310214 read, 0.942781 insert, 1.438954 total)
Rank 21 reconstructed 104 contigs with 88513 nodes from 104 start nodes. (0.402932 read, 0.966949 insert, 1.438916 total)
Rank 55 reconstructed 103 contigs with 86234 nodes from 103 start nodes. (0.402038 read, 0.984426 insert, 1.438956 total)
Rank 56 reconstructed 83 contigs with 65620 nodes from 83 start nodes. (0.294277 read, 0.944388 insert, 1.438962 total)
